2018-02-21 20:49:04,647|||main||||DEBUG|||||org.acumos.databroker.zipbroker.test.controller.ZipBrokerFileController|| In getZipBrokerProcessor method
2018-02-21 20:49:04,777|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getZipFile method
2018-02-21 20:49:05,196|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getUnzipFileFromInputStream method
2018-02-21 20:49:05,197|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:05,201|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:05,205|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:05,363|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:05,510|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:05,525|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:05,659|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:05,675|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:05,809|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:05,831|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:05,959|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:05,974|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:05,983|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:06,112|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:06,126|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:06,135|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:06,144|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:06,152|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:06,258|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:06,276|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:06,287|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:06,294|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:06,300|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:06,305|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:06,310|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:06,314|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:06,318|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:06,323|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:06,327|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:06,332|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:06,414|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:06,434|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:06,443|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:06,450|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:06,456|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:06,461|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:06,466|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:06,470|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:06,475|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In generateZipReaderResult metod
2018-02-21 20:51:59,959|||main||||DEBUG|||||org.acumos.databroker.zipbroker.test.service.impl.ZipBrokerServiceImpl|| In getZipFileFromURL
2018-02-21 20:51:59,961|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getZipFile method
2018-02-21 20:52:00,291|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getUnzipFileFromInputStream method
2018-02-21 20:52:00,291|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:52:00,296|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:52:00,297|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:52:00,506|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:52:00,605|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:52:00,623|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:52:00,754|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:52:00,775|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:52:00,905|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:52:00,923|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:52:00,938|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:52:00,954|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:52:00,968|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:52:00,983|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:52:01,054|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:52:01,068|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:52:01,089|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:52:01,101|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:52:01,108|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
